Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","33pF","C_0402_1005Metric",56.668000,52.046800,-90.000000,top
"C2","33pF","C_0402_1005Metric",64.313400,51.973200,90.000000,top
"C3","33pF","C_0402_1005Metric",33.560000,61.460000,-90.000000,top
"C4","33pF","C_0402_1005Metric",37.460000,61.360000,-90.000000,top
"C5","33pF","C_0402_1005Metric",42.260000,59.860000,0.000000,top
"C6","100nF","C_0402_1005Metric",71.679400,34.752000,90.000000,top
"C7","100nF","C_0402_1005Metric",44.460000,60.480000,-90.000000,top
"C8","100nF","C_0402_1005Metric",70.587200,34.752000,90.000000,top
"C9","100nF","C_0402_1005Metric",69.495000,34.752000,90.000000,top
"C10","330nF","C_0805_2012Metric",56.972800,94.391200,90.000000,top
"C11","100nF","C_0402_1005Metric",64.719800,95.407200,0.000000,top
"C12","100nF","C_0402_1005Metric",44.298200,94.134600,-90.000000,top
"C13","0.47F SC","Radial_D6.3mm_W13.6mm_P9.00mm",67.790000,80.830000,90.000000,top
"C14","100nF","C_0402_1005Metric",38.260000,89.260000,-90.000000,top
"C15","1uF","C_0402_1005Metric",37.060000,89.260000,-90.000000,top
"C16","100uF","C_1206_3216Metric",35.060000,88.660000,-90.000000,top
"C17","4.7uF","C_0402_1005Metric",67.680800,68.565000,90.000000,top
"C18","NC","C_0402_1005Metric",48.600000,82.010000,90.000000,top
"C19","NC","C_0402_1005Metric",51.900000,81.990000,90.000000,top
"D1","ESDA6V1-5W6","SOT323-6L",47.727200,45.140600,180.000000,top
"D2","NH-B2020RGBA-HF","NHB2020RGBAHF",56.053800,24.968600,180.000000,top
"D3","GREEN LED","LED_0603_1608Metric",43.790000,101.510000,90.000000,top
"D4","SS0540_R1_00001","D_SOD-123",61.036800,94.924600,0.000000,top
"D5","SS0540_R1_00001","D_SOD-123",61.113000,91.876600,0.000000,top
"D6","GS1M-LTP","D_SMA",69.469600,58.755000,0.000000,top
"D7","YELLOW LED","LED_0603_1608Metric",38.960000,101.460000,90.000000,top
"D8","SS0540_R1_00001","D_SOD-123",64.821400,86.237800,0.000000,top
"D9","DF2S6.8FS,L3M","D_SOD-923",32.990000,89.150000,-90.000000,top
"IC1","LoRa-E5","LoRaE5",58.968600,72.806800,180.000000,top
"J1","Screw_Terminal_01x03","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",39.360000,26.660000,0.000000,top
"J2","XKNANO-113","SIM8066611401A",36.730000,51.190000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",49.352800,60.736200,90.000000,top
"J4","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",50.300000,85.240000,90.000000,top
"J5","Screw_Terminal_01x04","TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",63.960000,100.860000,180.000000,top
"J6","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",66.751800,51.744600,90.000000,top
"L1","0R","R_0402_1005Metric",50.200000,82.090000,90.000000,top
"Q1","BC847CW","SOT-323_SC-70",35.325000,35.565000,90.000000,top
"Q2","BC847CW","SOT-323_SC-70",38.960000,97.760000,90.000000,top
"R1","10K","R_0402_1005Metric",71.273000,49.357000,0.000000,top
"R2","22","R_0402_1005Metric",35.360000,62.860000,90.000000,top
"R3","22","R_0402_1005Metric",40.760000,60.960000,180.000000,top
"R4","22","R_0402_1005Metric",38.660000,62.860000,90.000000,top
"R5","10K","R_0402_1005Metric",30.875000,35.290000,-90.000000,top
"R6","10K","R_0402_1005Metric",40.250000,33.140000,90.000000,top
"R7","10K","R_0402_1005Metric",44.950000,41.740000,90.000000,top
"R8","10K","R_0402_1005Metric",47.686700,51.995000,90.000000,top
"R9","10K","R_0402_1005Metric",62.306800,30.688000,-90.000000,top
"R10","47k","R_0402_1005Metric",63.678400,30.688000,-90.000000,top
"R11","10K","R_0402_1005Metric",49.098800,51.998600,90.000000,top
"R12","10K","R_0402_1005Metric",43.175000,41.740000,90.000000,top
"R13","10K","R_0402_1005Metric",56.896800,30.288000,0.000000,top
"R14","10K","R_0402_1005Metric",46.700000,41.730000,90.000000,top
"R15","680","R_0402_1005Metric",54.855000,27.990000,-90.000000,top
"R16","910","R_0402_1005Metric",56.130000,27.990000,-90.000000,top
"R17","910","R_0402_1005Metric",57.395000,27.990000,90.000000,top
"R18","10K","R_0402_1005Metric",32.425000,35.265000,90.000000,top
"R19","10K","R_0402_1005Metric",38.575000,33.140000,90.000000,top
"R20","20K","R_0402_1005Metric",49.683000,48.036200,90.000000,top
"R21","10K","R_0402_1005Metric",48.243000,48.026200,-90.000000,top
"R22","1K","R_0402_1005Metric",41.982500,103.812500,90.000000,top
"R23","1K","R_0402_1005Metric",38.330000,94.600000,90.000000,top
"R24","62","R_0805_2012Metric",64.491200,89.235000,0.000000,top
"R25","1K","R_0402_1005Metric",39.372500,104.247500,0.000000,top
"R26","10K","R_0402_1005Metric",29.617000,84.459800,-90.000000,top
"R27","10K","R_0402_1005Metric",30.810800,84.459800,-90.000000,top
"R28","200K","R_0402_1005Metric",69.315200,69.956400,0.000000,top
"R29","10K","R_0402_1005Metric",70.612600,68.584800,180.000000,top
"R30","10K","R_0402_1005Metric",71.958800,69.778600,180.000000,top
"SW1","TL3305AF260QG","TL3305AF260QG",66.108400,25.322200,90.000000,top
"U1","ATmega2560-16A","TQFP-100_14x14mm_P0.5mm",59.133200,40.484100,180.000000,top
"U2","SP485EN-L/TR","SOIC-8_3.9x4.9mm_P1.27mm",45.060000,36.760000,-90.000000,top
"U3","L7805","TO-220-3_Vertical",52.934200,94.619800,180.000000,top
"U4","SIM7080G","XCVR_SIM7080G",39.710000,74.110000,0.000000,top
"U5","LSF0204PW-Q100J","TSSOP-14_4.4x5mm_P0.65mm",70.993600,74.706200,-90.000000,top
"Y1","ABM3B-8.000MHZ-10-1-U-T","Oscillator_SMD_abm3b",57.713900,53.596200,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",27.560000,62.860000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",75.560000,50.450000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",27.560000,86.970000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",75.540000,69.080000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",51.260000,18.860000,180.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",51.060000,108.860000,180.000000,top
